step,accuracy,loss
1,0.22631369531154633,345.32232666015625
2,0.2988654375076294,330.7908935546875
3,0.3541998565196991,316.21337890625
4,0.4043590724468231,301.6471252441406
5,0.4583001732826233,287.2928771972656
6,0.5101512670516968,273.49237060546875
7,0.5511544942855835,259.7900695800781
8,0.5834991931915283,246.41664123535156
9,0.6171377301216125,233.54969787597656
10,0.6513734459877014,221.0714874267578
11,0.6671974658966064,209.5015869140625
12,0.6854100227355957,198.94119262695312
13,0.6986464858055115,188.67694091796875
14,0.7110868096351624,179.39407348632812
15,0.7230294942855835,170.29977416992188
16,0.7322850227355957,161.8133087158203
17,0.7475119829177856,153.52117919921875
18,0.7519904375076294,146.31546020507812
19,0.7646297812461853,139.00376892089844
20,0.7763734459877014,132.15313720703125
21,0.7794585824012756,126.73072814941406
22,0.7870222926139832,120.89291381835938
23,0.8020501732826233,115.18126678466797
24,0.8019506335258484,110.6716079711914
25,0.8103105425834656,105.61531829833984
26,0.8133957386016846,101.65328979492188
27,0.8177747130393982,97.3843994140625
28,0.8283240795135498,93.28263092041016
29,0.8272293210029602,90.30474853515625
30,0.8382762670516968,86.44796752929688
31,0.8400676846504211,83.6008529663086
32,0.8402667045593262,81.20832061767578
33,0.846835196018219,78.32398986816406
34,0.853005588054657,75.83252716064453
35,0.853204607963562,73.81580352783203
36,0.8586783409118652,71.49687194824219
37,0.8617635369300842,69.4789810180664
38,0.8629578351974487,67.8824462890625
39,0.8648487329483032,66.15397644042969
40,0.8660430312156677,65.04533386230469
41,0.8669387102127075,63.539527893066406
42,0.8716162443161011,61.826847076416016
43,0.8756966590881348,60.39862823486328
44,0.8796775341033936,58.936649322509766
45,0.8795780539512634,57.83921813964844
46,0.8823646903038025,56.5297966003418
47,0.8836584687232971,55.52013397216797
48,0.8833599090576172,54.876243591308594
49,0.8855493664741516,53.82571029663086
