step,accuracy,loss
1,0.24211262166500092,665.1973266601562
2,0.29892173409461975,611.18701171875
3,0.33166933059692383,586.8239135742188
4,0.36092251539230347,562.6514282226562
5,0.38448482751846313,536.5297241210938
6,0.3942691683769226,521.01513671875
7,0.42162540555000305,503.740478515625
8,0.42951276898384094,493.07257080078125
9,0.44658544659614563,480.85791015625
10,0.4618610143661499,466.2903137207031
11,0.469648540019989,461.0848083496094
12,0.48232826590538025,454.6690673828125
13,0.49281150102615356,444.4828796386719
14,0.4921126067638397,445.3399963378906
15,0.49710461497306824,437.1128845214844
16,0.5040934681892395,430.753173828125
17,0.5137779712677002,424.4422607421875
18,0.5229632258415222,416.8658142089844
19,0.5328474640846252,407.1229553222656
20,0.5405351519584656,401.37432861328125
21,0.5401358008384705,401.1714172363281
22,0.5385383367538452,400.7035217285156
23,0.5528154969215393,387.222900390625
24,0.5553115010261536,386.13525390625
25,0.5603035092353821,381.582275390625
26,0.56819087266922,376.8666687011719
27,0.5793730020523071,368.2895812988281
28,0.586361825466156,366.6882629394531
29,0.5847643613815308,364.6869201660156
30,0.5874600410461426,361.4678039550781
31,0.5942491888999939,357.583740234375
32,0.5944488644599915,352.5126647949219
33,0.5998402237892151,350.7295837402344
34,0.609424889087677,345.43994140625
35,0.6119208931922913,342.6658630371094
36,0.6110223531723022,344.5445861816406
37,0.6237020492553711,334.55230712890625
38,0.6291933059692383,330.4800109863281
39,0.6205071806907654,335.826904296875
40,0.6292931437492371,328.3850402832031
41,0.6344848275184631,325.94329833984375
42,0.6293929815292358,326.7786865234375
43,0.6390774846076965,321.91943359375
44,0.641473650932312,318.4671630859375
45,0.6461661458015442,314.851318359375
46,0.6460663080215454,314.3496398925781
47,0.6495606899261475,311.4531555175781
48,0.6485623121261597,311.3511047363281
49,0.6564496755599976,306.7765197753906
