step,accuracy,loss
1,0.19217754900455475,349.4319763183594
2,0.28811705112457275,335.89117431640625
3,0.35977309942245483,322.8889465332031
4,0.41331610083580017,310.042724609375
5,0.46417197585105896,297.2486572265625
6,0.508957028388977,284.6541748046875
7,0.5496616363525391,272.4382629394531
8,0.5920581221580505,260.6451110839844
9,0.6222133636474609,249.00662231445312
10,0.6510748267173767,237.88836669921875
11,0.6727707386016846,227.20883178710938
12,0.6930732727050781,216.99729919433594
13,0.7126791477203369,207.2456817626953
14,0.727707028388977,198.22982788085938
15,0.7355692982673645,189.4342498779297
16,0.7478105425834656,181.30137634277344
17,0.7544785141944885,173.29786682128906
18,0.7660230994224548,165.61915588378906
19,0.7723925113677979,158.15667724609375
20,0.7797572016716003,150.99066162109375
21,0.7860270738601685,144.3623504638672
22,0.7917993664741516,137.7739715576172
23,0.8004578351974487,131.8741455078125
24,0.8043391704559326,126.1015853881836
25,0.8102110028266907,121.09233093261719
26,0.815386176109314,116.3754653930664
27,0.8190684914588928,111.77495574951172
28,0.8237460255622864,107.87339782714844
29,0.8286226391792297,104.05191802978516
30,0.8313097357749939,100.78933715820312
31,0.8358877301216125,97.30995178222656
32,0.8384753465652466,94.24554443359375
33,0.8434514403343201,91.36119842529297
34,0.8470342755317688,89.22206115722656
35,0.8512141704559326,86.6854476928711
36,0.8534036874771118,84.2195816040039
37,0.8547970056533813,81.9625015258789
38,0.8581807613372803,80.05574798583984
39,0.8610668778419495,78.34454345703125
40,0.8634554147720337,76.41983032226562
41,0.8656449317932129,74.87614440917969
42,0.868332028388977,73.14764404296875
43,0.8703224658966064,71.7658462524414
44,0.8725119829177856,70.45499420166016
45,0.8735072016716003,69.0210952758789
46,0.8772889971733093,67.47765350341797
47,0.8787818551063538,66.53665161132812
48,0.8791799545288086,65.26795196533203
49,0.8807722926139832,64.40393829345703
