step,accuracy,loss
1,0.19536226987838745,353.3962097167969
2,0.2550756335258484,337.28076171875
3,0.30035829544067383,321.2139587402344
4,0.3539012670516968,306.11175537109375
5,0.4116242229938507,292.23333740234375
6,0.4552149772644043,278.82879638671875
7,0.5126393437385559,265.8039855957031
8,0.5526472926139832,253.4229278564453
9,0.5921576619148254,241.57843017578125
10,0.6202229261398315,230.39430236816406
11,0.6446058750152588,219.8372039794922
12,0.6667993664741516,210.1566925048828
13,0.6880971193313599,200.90016174316406
14,0.6985470056533813,192.81881713867188
15,0.7107882499694824,184.5251922607422
16,0.7237261533737183,176.65196228027344
17,0.7391520738601685,169.20950317382812
18,0.7512937784194946,161.9546661376953
19,0.7581608295440674,155.1366729736328
20,0.7655254602432251,148.85595703125
21,0.7741839289665222,142.06698608398438
22,0.783837616443634,135.9850311279297
23,0.7917993664741516,130.0659637451172
24,0.799761176109314,124.38098907470703
25,0.8095143437385559,118.9791259765625
26,0.8121019005775452,114.35353088378906
27,0.8169785141944885,110.09684753417969
28,0.8240445852279663,105.7801284790039
29,0.8289211988449097,101.80426025390625
30,0.8319068551063538,98.24927520751953
31,0.8391720056533813,94.95543670654297
32,0.8387739062309265,92.25984191894531
33,0.843252420425415,89.23462677001953
34,0.8456409573554993,86.184814453125
35,0.8520103693008423,83.5509033203125
36,0.8529060482978821,81.16279602050781
37,0.8584793210029602,78.4871826171875
38,0.861962616443634,76.567626953125
39,0.8636544942855835,74.606201171875
40,0.8658439517021179,72.65331268310547
41,0.8722133636474609,70.42010498046875
42,0.8710191249847412,69.03153991699219
43,0.875,67.10357666015625
44,0.8751990795135498,65.68594360351562
45,0.8791799545288086,64.01324462890625
46,0.880971372127533,62.47372817993164
47,0.8818670511245728,61.081382751464844
48,0.8826632499694824,60.01728820800781
49,0.8857484459877014,58.839900970458984
