step,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9
1,0.2615193596608212,0.2775853000952628,0.26523964323570604,0.2513179539947393,0.22316827763027927,0.27150382667850503,0.17249362877152258,0.2461615937747669,0,0
10,0.2641379871455315,0.2535624932311477,0.25206091096870337,0.23796617859686436,0.2581107295510564,0.22840881200405466,0.22255291979557545,0.24222111808841937,0.061322457214167556,0.048320949347003636
25,0.14393805953779143,0.15331510260036244,0.1442866723005872,0.13914592848421753,0.13999696047668353,0.1298744725193921,0.11803777030300364,0.13577707818225684,0.049013337857913196,0.034486420496213976
40,0.13457722396079327,0.12761051436303078,0.12317706166222886,0.11908531868223858,0.10948102716323331,0.11572866146068335,0.1137867178851941,0.10433631840448422,0.04042190837443873,0.013746195481260147
