step,accuracy,loss
1,0.1365445852279663,357.69683837890625
2,0.1948646456003189,353.71954345703125
3,0.23835588991641998,326.0484313964844
4,0.2800557315349579,310.5650939941406
5,0.3469347059726715,259.0621032714844
6,0.38087183237075806,258.2984313964844
7,0.45342355966567993,232.73731994628906
8,0.5284633636474609,214.7063446044922
9,0.5450835824012756,202.97909545898438
10,0.5907643437385559,187.0903778076172
11,0.5956409573554993,178.45135498046875
12,0.6241043210029602,168.94764709472656
13,0.6271895170211792,165.3529815673828
14,0.6322651505470276,161.60345458984375
15,0.6661027073860168,151.0336456298828
16,0.6589370965957642,151.39805603027344
17,0.6674960255622864,148.10452270507812
18,0.674761176109314,144.27194213867188
19,0.6822253465652466,141.37191772460938
20,0.6852110028266907,139.690185546875
21,0.6923766136169434,137.53590393066406
22,0.690087616443634,138.35150146484375
23,0.6897889971733093,136.97279357910156
24,0.6952627301216125,135.1925811767578
25,0.7069068551063538,129.04983520507812
26,0.6982484459877014,133.2280731201172
27,0.7081011533737183,128.89430236816406
28,0.7126791477203369,127.45245361328125
29,0.7192476391792297,124.31715393066406
30,0.7193471193313599,124.45571899414062
31,0.7209395170211792,122.58164978027344
32,0.7052149772644043,130.35360717773438
33,0.7224323153495789,122.46825408935547
34,0.7203423380851746,122.68675231933594
35,0.7295979261398315,119.47052764892578
36,0.728005588054657,120.30097961425781
37,0.7291003465652466,118.67060089111328
38,0.7288017868995667,119.06866455078125
39,0.734375,117.3060302734375
40,0.7331807613372803,117.13497924804688
41,0.737261176109314,116.556884765625
42,0.7362659573554993,114.96448516845703
43,0.7432324886322021,112.98532104492188
44,0.7417396903038025,113.4944839477539
45,0.7417396903038025,114.54840850830078
46,0.7409434914588928,112.96880340576172
47,0.7451234459877014,111.60391235351562
48,0.7483081221580505,111.82447814941406
49,0.7486066818237305,110.54269409179688
